htime,haddend,hcum,vtime,vaddend,vcum,mess
98.37ms,98.37ms,98.37,0.51ms,0.51ms,0.51, *** Booting Zephyr OS build zephyr-v3.2.0  ***
0.1s,3.75ms,102.12,0.8ms,0.29ms,0.8, Calculate first 240 digits of Pi independently by 16 threads.
0.32s,0.22s,322.12,33.3ms,32.5ms,33.3, Pi value calculated by thread #0: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.33s,5.92ms,328.04,34.1ms,0.8ms,34.099999999999994, Pi value calculated by thread #1: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.33s,5.41ms,333.45000000000005,34.8ms,0.7ms,34.8, Pi value calculated by thread #2: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.34s,5.87ms,339.32000000000005,35.6ms,0.8ms,35.599999999999994, Pi value calculated by thread #3: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.34s,5.56ms,344.88000000000005,36.3ms,0.7ms,36.3, Pi value calculated by thread #4: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.35s,5.93ms,350.81000000000006,37.1ms,0.8ms,37.099999999999994, Pi value calculated by thread #5: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.36s,5.56ms,356.37000000000006,37.8ms,0.7ms,37.8, Pi value calculated by thread #6: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.36s,6.76ms,363.13000000000005,38.6ms,0.8ms,38.599999999999994, Pi value calculated by thread #7: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.37s,5.89ms,369.02000000000004,39.4ms,0.8ms,39.39999999999999, Pi value calculated by thread #8: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.37s,5.67ms,374.69000000000005,40.1ms,0.7ms,40.099999999999994, Pi value calculated by thread #9: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.38s,5.9ms,380.59000000000003,40.9ms,0.8ms,40.89999999999999, Pi value calculated by thread #10: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.39s,5.44ms,386.03000000000003,41.6ms,0.7ms,41.599999999999994, Pi value calculated by thread #11: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.39s,5.76ms,391.79,42.4ms,0.8ms,42.39999999999999, Pi value calculated by thread #12: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.4s,5.75ms,397.54,43.2ms,0.8ms,43.19999999999999, Pi value calculated by thread #13: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.4s,5.62ms,403.16,43.9ms,0.7ms,43.89999999999999, Pi value calculated by thread #14: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.41s,5.68ms,408.84000000000003,44.7ms,0.8ms,44.69999999999999, Pi value calculated by thread #15: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.41s,0.99ms,409.83000000000004,44.8ms,0.1ms,44.79999999999999, All 16 threads executed by 2 cores in 30 msec
