htime,haddend,hcum,vtime,vaddend,vcum,mess
0.13s,0.13s,130.0,0.51ms,0.51ms,0.51, *** Booting Zephyr OS build zephyr-v3.2.0  ***
0.14s,6.76ms,136.76,0.8ms,0.29ms,0.8, Calculate first 240 digits of Pi independently by 16 threads.
0.22s,78.81ms,215.57,33.3ms,32.5ms,33.3, Pi value calculated by thread #0: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.22s,5.25ms,220.82,34.1ms,0.8ms,34.099999999999994, Pi value calculated by thread #1: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.23s,3.56ms,224.38,34.8ms,0.7ms,34.8, Pi value calculated by thread #2: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.23s,3.74ms,228.12,35.6ms,0.8ms,35.599999999999994, Pi value calculated by thread #3: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.23s,3.37ms,231.49,36.3ms,0.7ms,36.3, Pi value calculated by thread #4: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.24s,3.59ms,235.08,37.1ms,0.8ms,37.099999999999994, Pi value calculated by thread #5: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.24s,3.21ms,238.29000000000002,37.8ms,0.7ms,37.8, Pi value calculated by thread #6: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.24s,3.21ms,241.50000000000003,38.6ms,0.8ms,38.599999999999994, Pi value calculated by thread #7: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.25s,3.12ms,244.62000000000003,39.4ms,0.8ms,39.39999999999999, Pi value calculated by thread #8: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.25s,2.98ms,247.60000000000002,40.1ms,0.7ms,40.099999999999994, Pi value calculated by thread #9: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.25s,4.16ms,251.76000000000002,40.9ms,0.8ms,40.89999999999999, Pi value calculated by thread #10: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.26s,3.21ms,254.97000000000003,41.6ms,0.7ms,41.599999999999994, Pi value calculated by thread #11: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.26s,3.23ms,258.20000000000005,42.4ms,0.8ms,42.39999999999999, Pi value calculated by thread #12: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.26s,3.45ms,261.65000000000003,43.2ms,0.8ms,43.19999999999999, Pi value calculated by thread #13: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.27s,3.22ms,264.87000000000006,43.9ms,0.7ms,43.89999999999999, Pi value calculated by thread #14: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.27s,3.32ms,268.19000000000005,44.7ms,0.8ms,44.69999999999999, Pi value calculated by thread #15: 314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823378678316
0.27s,0.64ms,268.83000000000004,44.8ms,0.1ms,44.79999999999999, All 16 threads executed by 2 cores in 30 msec
